OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class
ASV137	Indv47	0	Indv47	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv97	0	Indv97	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv34	0	Indv34	Control	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv138	0	Indv138	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv117	0	Indv117	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv140	0	Indv140	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv87	0	Indv87	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv9	0	Indv9	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv69	0	Indv69	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv95	0	Indv95	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv35	0	Indv35	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv139	0	Indv139	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv118	0	Indv118	Control	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv88	0	Indv88	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv90	0	Indv90	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv51	0	Indv51	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv99	0	Indv99	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv78	0	Indv78	Control	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv36	0	Indv36	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv6	0	Indv6	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv83	0	Indv83	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv86	0	Indv86	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv44	0	Indv44	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv46	0	Indv46	Control	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv52	0	Indv52	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv55	0	Indv55	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv37	0	Indv37	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv60	0	Indv60	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv84	0	Indv84	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv63	0	Indv63	Control	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv64	0	Indv64	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv65	0	Indv65	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv67	0	Indv67	Case	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv56	0	Indv56	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv73	0	Indv73	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv85	0	Indv85	Control	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv8	0	Indv8	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv38	0	Indv38	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv61	0	Indv61	Control	Site2	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
ASV137	Indv80	0	Indv80	Case	Site1	Bacteria	Absconditabacteria_(SR1)	<1%_Abundance
